Nombre,Cantidad,Componente
"UUNO",1," Arduino Uno R3"
"RFOTO",1," Fotorresistencia"
"ULCD",1," LCD 16 x 2"
"RR0",1,"220 Ω Resistencia"
"RR1",1,"10 kΩ Resistencia"
